"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd info","This will creat categories","SUCCESS","2022-06-07T12:28:52.356+01:00[Europe/London]","0.0","3.66"
"Categories curd info","This will fatch single category","SUCCESS","2022-06-07T12:28:56.043+01:00[Europe/London]","0.0","0.07"
"Categories curd info","This will update category","SUCCESS","2022-06-07T12:28:56.117+01:00[Europe/London]","0.0","0.19"
"Categories curd info","This will delete category","SUCCESS","2022-06-07T12:28:56.315+01:00[Europe/London]","0.0","0.25"
"Product curd info","this will creat new product ","SUCCESS","2022-06-07T12:28:58.207+01:00[Europe/London]","0.0","0.56"
"Product curd info","This will fatch the product by id ","SUCCESS","2022-06-07T12:28:58.771+01:00[Europe/London]","0.0","0.08"
"Product curd info","this will update  product ","SUCCESS","2022-06-07T12:28:58.849+01:00[Europe/London]","0.0","0.08"
"Product curd info","This will delete product ","SUCCESS","2022-06-07T12:28:58.931+01:00[Europe/London]","0.0","0.05"
"Service curd info","this will creat service0","SUCCESS","2022-06-07T12:28:59.107+01:00[Europe/London]","0.0","0.06"
"Service curd info","This will fath single service","SUCCESS","2022-06-07T12:28:59.170+01:00[Europe/London]","0.0","0.0"
"Service curd info","This will update service","SUCCESS","2022-06-07T12:28:59.173+01:00[Europe/London]","0.0","0.03"
"Service curd info","This will delete the service","SUCCESS","2022-06-07T12:28:59.207+01:00[Europe/London]","0.0","0.08"
"Store curd info","creat a store detail","SUCCESS","2022-06-07T12:28:59.371+01:00[Europe/London]","0.0","0.08"
"Store curd info","Get single store detail","SUCCESS","2022-06-07T12:28:59.454+01:00[Europe/London]","0.0","0.06"
"Store curd info","this will update store detail","SUCCESS","2022-06-07T12:28:59.520+01:00[Europe/London]","0.0","0.04"
"Store curd info","this will delet storedetail","SUCCESS","2022-06-07T12:28:59.566+01:00[Europe/London]","0.0","0.05"
